id,source,source_id,ocid,language,title,description,value,currency,releasedate,startdate,enddate,buyer,streetaddress,locality,region,postcode,countryname,contactname,email,telephone,faxnumber,contact_url,tender_url,cpvs,date_created,date_updated,json,pubdate
167791703,td_bravosolution,47238,ocds-0c46vo-0005-47238,en,Digital Sequence Information: An Evidence Review,"The Convention on Biological Diversity (CBD) policy team requires a research study to look at feasible options, by which user nations could implement a benefit sharing mechanism for the use of Digital Sequencing Information (DSI).  This need has arisen due to some of the provider countries (which are home to the genetic resource) calling for the benefits to be shared. The requirement to carry out this study has become crucial in enabling a consensus on the subject of DSI and how it is shared.   
The objective of this study is twofold.  Firstly it aims to increase our existing knowledge of DSI, including the financial, social and economic impacts of DSI on a global marketplace.  Secondly, to identify any feasible alternative mechanisms, which could be used to achieve fair and equitable sharing of the benefits.  This opportunity is advertised by DgC on behalf of Core Defra.",,,2020-01-09 22:19:33.164892,,2020-02-07 17:00:00.000000,Defra Network eTendering Portal,,,,,United Kingdom,Leonie Cormac,Leonie.cormac@defra.gov.uk,,,,https://defra.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=47238&oppList=PAST,"",2020-01-10 01:31:57.205493,2020-03-06 18:42:10.714906,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-47238/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""47238"", ""tag"": [""tender""], ""date"": ""2020-01-09T22:19:33.164892"", ""ocid"": ""ocds-0c46vo-0005-47238"", ""buyer"": {""name"": ""Defra Network eTendering Portal"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""Leonie Cormac"", ""email"": ""Leonie.cormac@defra.gov.uk""}}, ""tender"": {""id"": ""47238"", ""title"": ""Digital Sequence Information: An Evidence Review"", ""status"": ""complete"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://defra.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=47238&oppList=PAST"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""The Convention on Biological Diversity (CBD) policy team requires a research study to look at feasible options, by which user nations could implement a benefit sharing mechanism for the use of Digital Sequencing Information (DSI).  This need has arisen due to some of the provider countries (which are home to the genetic resource) calling for the benefits to be shared. The requirement to carry out this study has become crucial in enabling a consensus on the subject of DSI and how it is shared.   \nThe objective of this study is twofold.  Firstly it aims to increase our existing knowledge of DSI, including the financial, social and economic impacts of DSI on a global marketplace.  Secondly, to identify any feasible alternative mechanisms, which could be used to achieve fair and equitable sharing of the benefits.  This opportunity is advertised by DgC on behalf of Core Defra."", ""tenderPeriod"": {""endDate"": ""2020-02-07T17:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Under OJEU Open Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-03-06T18:40:25.613737+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-01-09 22:19:33.164892
178939335,td_bravosolution,48283,ocds-0c46vo-0005-48283,en,PBL - 150083 PPC Zones 5 to 8 Reconfiguration Construction,"Porton biopharma Ltd are looking for a Principal contractor to procure, construct and commission a 2-phased approach project within their live manufacturing facility. RIBA 4 design information will be available at Invitation to Tender during this procurement process. 

The proposal will reconfigure / refurbish the existing biopharmaceutical manufacturing facility onsite at Porton down, the new arrangement will consist of Grade D & Grade C cleanrooms.  

The project will consist of but not limited to:

1.	Existing black utilities modification & reconfigurations.
2.	Existing clean utilities modification & reconfigurations.
3.	New clean steam, Water for Injection and purified water generation and distribution.
4.	A mixture of client procured and principal contractor procured process equipment integration.
5.	Demolition of existing areas i.e. internal wall, ceilings, all finishes, redundant services and equipment to enable reconfiguration and repurposing of the areas. Plantrooms and service area will also be in scope.
6.	Liaison with PBL appointed designer & execution of contractor’s design portion.
7.	Commissioning of the facility/equipment for handover to PBL to undertake any Qualification that may be required.
8.	 Grade C processing room, cold rooms, storage rooms, with associated change room and material/equipment airlocks. Grade D equipment preparation room with associated change room and material/equipment airlocks

The above is a brief overview of the project in question, more information will be provided at PQQ and subsequently ITT.",,,2020-02-27 22:58:12.010278,,2020-04-06 17:00:00.000000,Porton Biopharma,,,,,United Kingdom,Jeff Pike,jeff.pike@portonbiopharma.com,,,,https://phe.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=48283&oppList=CURRENT,"",2020-02-28 01:32:32.089101,2020-03-06 18:42:07.215467,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-48283/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""48283"", ""tag"": [""tender""], ""date"": ""2020-02-27T22:58:12.010278"", ""ocid"": ""ocds-0c46vo-0005-48283"", ""buyer"": {""name"": ""Porton Biopharma"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""Jeff Pike"", ""email"": ""jeff.pike@portonbiopharma.com""}}, ""tender"": {""id"": ""48283"", ""title"": ""PBL - 150083 PPC Zones 5 to 8 Reconfiguration Construction"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://phe.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=48283&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""Porton biopharma Ltd are looking for a Principal contractor to procure, construct and commission a 2-phased approach project within their live manufacturing facility. RIBA 4 design information will be available at Invitation to Tender during this procurement process. \n\nThe proposal will reconfigure / refurbish the existing biopharmaceutical manufacturing facility onsite at Porton down, the new arrangement will consist of Grade D & Grade C cleanrooms.  \n\nThe project will consist of but not limited to:\n\n1.\tExisting black utilities modification & reconfigurations.\n2.\tExisting clean utilities modification & reconfigurations.\n3.\tNew clean steam, Water for Injection and purified water generation and distribution.\n4.\tA mixture of client procured and principal contractor procured process equipment integration.\n5.\tDemolition of existing areas i.e. internal wall, ceilings, all finishes, redundant services and equipment to enable reconfiguration and repurposing of the areas. Plantrooms and service area will also be in scope.\n6.\tLiaison with PBL appointed designer & execution of contractor’s design portion.\n7.\tCommissioning of the facility/equipment for handover to PBL to undertake any Qualification that may be required.\n8.\t Grade C processing room, cold rooms, storage rooms, with associated change room and material/equipment airlocks. Grade D equipment preparation room with associated change room and material/equipment airlocks\n\nThe above is a brief overview of the project in question, more information will be provided at PQQ and subsequently ITT."", ""tenderPeriod"": {""endDate"": ""2020-04-06T17:00:00+00:00""}, ""procurementMethod"": ""selective"", ""procurementMethodDetails"": ""OJEU Restricted Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-03-06T18:39:50.482740+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-02-27 22:58:12.010278
178939336,td_bravosolution,48277,ocds-0c46vo-0005-48277,en,NHS North Kirklees CCG: Microsuction Service,"NHS North Kirklees CCG commissioners invite providers to the tender of Microsuction Service for the population of North Kirklees.

Across North Kirklees CCG, it is known that 1.3% of the population is currently accessing NHS ear wax removal services via ear irrigation. This cohort from a population (around 194,000) may benefit from micro suction. It is anticipated that with the implementation of the agreed clinical pathway and the NICE guidance as well as implementation of a locally delivered service the demand on secondary care services will reduce.

The service aims to meet the needs of people with hearing impairment associated with ear wax.

The overarching aims of the service are:

• To provide micro suction in primary care (GP practices) and the community.
• To provide general ear care advice and education and promote self- management prior to medical intervention.
• To improve the pathway of care for people with hearing loss by removing ear wax prior to any referral for audiology assessment.
• To provide equitable timely access to micro suction in primary care and community settings and reduce unnecessary referrals to secondary care.
• To ensure that micro-suction is appropriate, necessary, clinically correct, of high quality, with timely access
• To ensure equity of access across the CCG population.

NHS North Kirklees CCG intends to award a contract to the three highest scoring providers for this service.

The tariff for this service will be £35 for one ear, £60 for two ears. The activity for this service has been capped at 2,600 overall per annum",0.0,GBP,2020-02-27 22:56:48.544315,,2020-03-19 12:00:00.000000,NHS North Kirklees CCG,,,,,United Kingdom,Brenda Powell,Brenda.powell@greaterhuddersfieldccg.nhs.uk; benjamin.pursey@greaterhuddersfieldccg.nhs.uk,,,,https://www.nhssourcing.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=48277&oppList=CURRENT,"",2020-02-28 01:32:32.129846,2020-03-06 18:42:07.253991,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-48277/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""48277"", ""tag"": [""tender""], ""date"": ""2020-02-27T22:56:48.544315"", ""ocid"": ""ocds-0c46vo-0005-48277"", ""buyer"": {""name"": ""NHS North Kirklees CCG"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""Brenda Powell"", ""email"": ""Brenda.powell@greaterhuddersfieldccg.nhs.uk; benjamin.pursey@greaterhuddersfieldccg.nhs.uk""}}, ""awards"": [{""id"": ""48277"", ""contractPeriod"": {""endDate"": ""2021-04-01T00:00:00+00:00"", ""startDate"": ""2020-04-01T00:00:00+00:00""}}], ""tender"": {""id"": ""48277"", ""title"": ""NHS North Kirklees CCG: Microsuction Service"", ""value"": {""amount"": 0.0, ""currency"": ""GBP""}, ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://www.nhssourcing.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=48277&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""NHS North Kirklees CCG commissioners invite providers to the tender of Microsuction Service for the population of North Kirklees.\n\nAcross North Kirklees CCG, it is known that 1.3% of the population is currently accessing NHS ear wax removal services via ear irrigation. This cohort from a population (around 194,000) may benefit from micro suction. It is anticipated that with the implementation of the agreed clinical pathway and the NICE guidance as well as implementation of a locally delivered service the demand on secondary care services will reduce.\n\nThe service aims to meet the needs of people with hearing impairment associated with ear wax.\n\nThe overarching aims of the service are:\n\n• To provide micro suction in primary care (GP practices) and the community.\n• To provide general ear care advice and education and promote self- management prior to medical intervention.\n• To improve the pathway of care for people with hearing loss by removing ear wax prior to any referral for audiology assessment.\n• To provide equitable timely access to micro suction in primary care and community settings and reduce unnecessary referrals to secondary care.\n• To ensure that micro-suction is appropriate, necessary, clinically correct, of high quality, with timely access\n• To ensure equity of access across the CCG population.\n\nNHS North Kirklees CCG intends to award a contract to the three highest scoring providers for this service.\n\nThe tariff for this service will be £35 for one ear, £60 for two ears. The activity for this service has been capped at 2,600 overall per annum"", ""tenderPeriod"": {""endDate"": ""2020-03-19T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Open procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-03-06T18:39:50.601006+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-02-27 22:56:48.544315
193154135,td_bravosolution,49143,ocds-0c46vo-0005-49143,en,PBL - B03 Conversion Works,Conversion of Building B03 as per the specifications and design documents,,,2020-04-28 22:30:53.072644,,2020-06-09 00:00:00.000000,Porton Biopharma,,,,,United Kingdom,Porton Biopharma,,,,,https://phe.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49143&oppList=CURRENT,"",2020-04-29 01:31:56.702331,2020-04-29 01:31:56.702331,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49143/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49143"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:30:53.072644"", ""ocid"": ""ocds-0c46vo-0005-49143"", ""buyer"": {""name"": ""Porton Biopharma"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""Porton Biopharma""}}, ""tender"": {""id"": ""49143"", ""title"": ""PBL - B03 Conversion Works"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://phe.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49143&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""Conversion of Building B03 as per the specifications and design documents"", ""tenderPeriod"": {""endDate"": ""2020-06-09T00:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Under OJEU Open Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.066348+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:30:53.072644
193154140,td_bravosolution,49147,ocds-0c46vo-0005-49147,en,FS900086 Research Fellow: Secondary Analysis of Food and You Survey Data,"The Food and You research fellow will work within the Social Science team, in the Science, Evidence and Research Directorate (SERD), and be responsible for the timely analysis and reporting of our modular surveys.",,,2020-04-28 22:24:09.565421,,2020-06-09 12:00:00.000000,The Food Standards Agency,,,,,United Kingdom,The Food Standards Agency,,,,,https://food.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49147&oppList=CURRENT,"",2020-04-29 01:31:56.793837,2020-04-29 01:31:56.793837,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49147/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49147"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:24:09.565421"", ""ocid"": ""ocds-0c46vo-0005-49147"", ""buyer"": {""name"": ""The Food Standards Agency"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""The Food Standards Agency""}}, ""tender"": {""id"": ""49147"", ""title"": ""FS900086 Research Fellow: Secondary Analysis of Food and You Survey Data"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://food.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49147&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""The Food and You research fellow will work within the Social Science team, in the Science, Evidence and Research Directorate (SERD), and be responsible for the timely analysis and reporting of our modular surveys."", ""tenderPeriod"": {""endDate"": ""2020-06-09T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Under OJEU Open Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.145525+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:24:09.565421
193154149,td_bravosolution,49142,ocds-0c46vo-0005-49142,en,Modernisation of Five Passenger Lifts,"Bron Afon is seeking to appoint a suitably skilled and experienced Lift contractor to complete the modernisation of five passenger lifts at the following properties;

•	Fairview Court – 2 Passenger Lifts
•	Towers, Cwmbran - 2 Passenger Lifts
•	Monmouth House, Cwmbran– 1 Passenger Lift

The successful Lift Contractor will be required to deliver the modernisation    works to improve the condition and integrity of the motor rooms, lift shaft and lift cars as needed. This will also include any upgrade measures needed to ensure health & safety compliance, and any other relevant compliance requirements that Bron Afon are required to obtain.  

The modernisation works is to be delivered in line with an agreed phased plan, which aims to minimise the programme timeframe and disruption to tenants, as well as minimising risk and maintain service to our tenants.  

The successful Lift Contractor will be required to take on the role and responsibilities as principal contractor to deliver the scheme, and appoint specialist sub-contractors to deliver specialist works including any required building and structural works for example.   

The successful contractor will also be required to provide all service and  responsive maintenance requirements for 12 months following completion of the last lift, to include all break down and emergency call outs within set timescales.",,,2020-04-28 22:23:35.395842,,2020-06-08 12:00:00.000000,eTenderwales,,,,,United Kingdom,eTenderwales,,,,,https://etenderwales.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49142&oppList=CURRENT,"",2020-04-29 01:31:56.848415,2020-04-29 01:31:56.848415,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49142/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49142"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:23:35.395842"", ""ocid"": ""ocds-0c46vo-0005-49142"", ""buyer"": {""name"": ""eTenderwales"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""eTenderwales""}}, ""tender"": {""id"": ""49142"", ""title"": ""Modernisation of Five Passenger Lifts"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://etenderwales.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49142&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""Bron Afon is seeking to appoint a suitably skilled and experienced Lift contractor to complete the modernisation of five passenger lifts at the following properties;\n\n•\tFairview Court – 2 Passenger Lifts\n•\tTowers, Cwmbran - 2 Passenger Lifts\n•\tMonmouth House, Cwmbran– 1 Passenger Lift\n\nThe successful Lift Contractor will be required to deliver the modernisation    works to improve the condition and integrity of the motor rooms, lift shaft and lift cars as needed. This will also include any upgrade measures needed to ensure health & safety compliance, and any other relevant compliance requirements that Bron Afon are required to obtain.  \n\nThe modernisation works is to be delivered in line with an agreed phased plan, which aims to minimise the programme timeframe and disruption to tenants, as well as minimising risk and maintain service to our tenants.  \n\nThe successful Lift Contractor will be required to take on the role and responsibilities as principal contractor to deliver the scheme, and appoint specialist sub-contractors to deliver specialist works including any required building and structural works for example.   \n\nThe successful contractor will also be required to provide all service and  responsive maintenance requirements for 12 months following completion of the last lift, to include all break down and emergency call outs within set timescales."", ""tenderPeriod"": {""endDate"": ""2020-06-08T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Competitive procedure with negotiation""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.211901+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:23:35.395842
193154155,td_bravosolution,49139,ocds-0c46vo-0005-49139,en,SCAH Building 950/951 Construction,SCAH Building 950/951 Construction,,,2020-04-28 22:21:57.275318,,2020-05-11 00:00:00.000000,Defra Network eTendering Portal,,,,,United Kingdom,Defra Network eTendering Portal,,,,,https://defra.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49139&oppList=CURRENT,"",2020-04-29 01:31:56.924515,2020-04-29 01:31:56.924515,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49139/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49139"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:21:57.275318"", ""ocid"": ""ocds-0c46vo-0005-49139"", ""buyer"": {""name"": ""Defra Network eTendering Portal"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""Defra Network eTendering Portal""}}, ""tender"": {""id"": ""49139"", ""title"": ""SCAH Building 950/951 Construction"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://defra.bravosolution.co.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49139&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""SCAH Building 950/951 Construction"", ""tenderPeriod"": {""endDate"": ""2020-05-11T00:00:00+00:00""}, ""procurementMethod"": ""selective"", ""procurementMethodDetails"": ""OJEU Restricted Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.292083+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:21:57.275318
193154159,td_bravosolution,49121,ocds-0c46vo-0005-49121,en,Insurance for TQEC construction,"The University is seeking to procure insurances for the construction phase of the University's new campus: the Temple Quarter Enterprise Campus (""TQEC"") adjacent to Bristol Temple Meads railway station.

The following types of insurance are required:
Delay in start up
Construction All Risks
Terrorism
Third Party Liability and Products Liability
Non-Negligent Liability
Financial loss",,,2020-04-28 22:18:11.876305,,2020-06-12 12:00:00.000000,University of Bristol,,,,,United Kingdom,University of Bristol,,,,,https://tenders.bris.ac.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49121&oppList=CURRENT,"",2020-04-29 01:31:56.956144,2020-04-29 01:31:56.956144,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49121/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49121"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:18:11.876305"", ""ocid"": ""ocds-0c46vo-0005-49121"", ""buyer"": {""name"": ""University of Bristol"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""University of Bristol""}}, ""awards"": [{""id"": ""49121"", ""contractPeriod"": {""endDate"": ""2023-10-01T00:00:00+00:00"", ""startDate"": ""2020-10-01T00:00:00+00:00""}}], ""tender"": {""id"": ""49121"", ""title"": ""Insurance for TQEC construction"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://tenders.bris.ac.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49121&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""The University is seeking to procure insurances for the construction phase of the University's new campus: the Temple Quarter Enterprise Campus (\""TQEC\"") adjacent to Bristol Temple Meads railway station.\n\nThe following types of insurance are required:\nDelay in start up\nConstruction All Risks\nTerrorism\nThird Party Liability and Products Liability\nNon-Negligent Liability\nFinancial loss"", ""tenderPeriod"": {""endDate"": ""2020-06-12T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""OJEU Open Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.363344+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:18:11.876305
193154163,td_bravosolution,49144,ocds-0c46vo-0005-49144,en,Digital Connectivity Services,Consultancy procurement for Network architecture,,,2020-04-28 22:18:10.253242,,2020-05-18 12:00:00.000000,University of Bristol,,,,,United Kingdom,University of Bristol,,,,,https://tenders.bris.ac.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49144&oppList=CURRENT,"",2020-04-29 01:31:57.017272,2020-04-29 01:31:57.017272,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49144/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49144"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:18:10.253242"", ""ocid"": ""ocds-0c46vo-0005-49144"", ""buyer"": {""name"": ""University of Bristol"", ""address"": {""countryName"": ""United Kingdom""}, ""contactPoint"": {""name"": ""University of Bristol""}}, ""tender"": {""id"": ""49144"", ""title"": ""Digital Connectivity Services"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://tenders.bris.ac.uk/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49144&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""Consultancy procurement for Network architecture"", ""tenderPeriod"": {""endDate"": ""2020-05-18T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Under OJEU Open Procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.443391+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:18:10.253242
193154164,td_bravosolution,49146,ocds-0c46vo-0005-49146,en,Rural Activity Garden Centre - New Barn,"The barn is to store and display vintage tractors and farm equipment. The barn has to look appropriate to the task, which is appear to be a simple agricultural barn. The building will not need to be heated in winter and will not have insulated floors, walls and roof. The work is limited to just the provision of the barn.

The site is in close proximity to a training centre for adults with learning difficulties; all health and safety planning must pay close attention to the schedule of works",,,2020-04-28 22:17:37.362063,,2020-05-12 12:00:00.000000,London Borough of Hillingdon,,,,,United Kingdom,,,,,,https://www.capitalesourcing.com/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49146&oppList=CURRENT,"",2020-04-29 01:31:57.023255,2020-04-29 01:31:57.023255,"{""uri"": ""https://openopps.com/tenders/ocds-0c46vo-0005-49146/?format=json"", ""license"": ""https://opendatacommons.org/licenses/odbl/"", ""releases"": [{""id"": ""49146"", ""tag"": [""tender""], ""date"": ""2020-04-28T22:17:37.362063"", ""ocid"": ""ocds-0c46vo-0005-49146"", ""buyer"": {""name"": ""London Borough of Hillingdon"", ""address"": {""countryName"": ""United Kingdom""}}, ""tender"": {""id"": ""49146"", ""title"": ""Rural Activity Garden Centre - New Barn"", ""status"": ""active"", ""documents"": [{""id"": ""tender_url"", ""url"": ""https://www.capitalesourcing.com/esop/toolkit/opportunity/opportunityDetail.do?opportunityId=49146&oppList=CURRENT"", ""format"": ""text/html"", ""language"": ""en"", ""documentType"": ""tenderNotice""}], ""description"": ""The barn is to store and display vintage tractors and farm equipment. The barn has to look appropriate to the task, which is appear to be a simple agricultural barn. The building will not need to be heated in winter and will not have insulated floors, walls and roof. The work is limited to just the provision of the barn.\n\nThe site is in close proximity to a training centre for adults with learning difficulties; all health and safety planning must pay close attention to the schedule of works"", ""tenderPeriod"": {""endDate"": ""2020-05-12T12:00:00+00:00""}, ""procurementMethod"": ""open"", ""procurementMethodDetails"": ""Open procedure""}, ""language"": ""en"", ""initiationType"": ""tender""}], ""publisher"": {""uid"": ""https://beta.companieshouse.gov.uk/company/04962733"", ""uri"": ""https://openopps.com"", ""name"": ""Open Opps"", ""scheme"": ""Companies House""}, ""publishedDate"": ""2020-04-29T01:31:52.516717+00:00"", ""publicationPolicy"": ""https://openopps.com/legal/""}",2020-04-28 22:17:37.362063
